id;name;description;version;model_type;cost_input_1m;cost_output_1m;context_window;tokens;params_size;api_key_required
1;"gpt-3.5-turbo";"GPT 3.5 Turbo";"3.5";"OPENAI";0.5;1.5;16;"true";0;"true"
2;"gpt-4";"gpt-4-0613";"4-0613";"OPENAI";30.0;60.0;8;"true";0;"true"
3;"gpt-4-turbo-preview";"gpt-4-0125-preview";"4-0125";"OPENAI";10.0;30.0;128;"true";0;"true"
4;"gpt-4-32k";"GPT-4 32k";"4 32K";"OPENAI";60.0;120.0;32;"true";0;"true"
5;"LMStudio";"Uses port 1234";"latest";"LMSTUDIO";;;;;;"false"
2403;"dolphin-mixtral:8x7b-v2.5-q5_1";"An uncensored, fine-tuned model based on the Mixtral mixture of experts model that excels at coding tasks. Created by Eric Hartford.";"2024-02-01";"OLLAMA";0.0;0.0;;"false";47.0;"false"
2601;"Claude 2.0";"Claud 2.0";"v2.0";"CLAUDE";8.0;24.0;100;"true";0;"true"
2651;"gemini-pro";"gemini-pro";"Pro";"GEMINI";0.000125;0.000375;4;"false";0;"true"
2801;"Claude 2.1";"Claude v2.1";"2.1";"CLAUDE";8.0;24.0;200;"true";0;"true"
2802;"Claude Instant";"Claude Instant";"Instant";"CLAUDE";0.8;2.4;100;"true";0;"true"
2804;"Claude 3 Sonnet";"Claude 3.0 Sonnet";"3.0";"CLAUDE";3.0;15.0;200;"true";0;"true"
2851;"Claude 3 Opus";"Claude 3 Opus";"3.0";"CLAUDE";15.0;75.0;200;"true";0;"true"
2901;"codellama:latest";;"2024-02-26T18:46:52.734582117+01:00";"OLLAMA";0.0;0.0;;"false";0.0;"false"
2902;"deepseek-coder:latest";;"2024-02-01T09:11:19.4166355+01:00";"OLLAMA";0.0;0.0;;"false";0.0;"false"
2903;"gemma:latest";"Gemma";"2024-03-01T15:23:50.832110731+01:00";"OLLAMA";0.0;0.0;;"false";7.0;"false"
2904;"llava:latest";;"2024-02-01T09:19:06.473191154+01:00";"OLLAMA";0.0;0.0;;"false";0.0;"false"
2905;"mistral:latest";;"2024-02-01T09:18:49.809809195+01:00";"OLLAMA";0.0;0.0;;"false";0.0;"false"
2906;"phi:latest";;"2024-03-01T15:13:21.287213075+01:00";"OLLAMA";0.0;0.0;;"false";0.0;"false"
2907;"starcoder2:latest";;"2024-03-07T12:32:03.830886518+01:00";"OLLAMA";0.0;0.0;;"false";0.0;"false"
2908;"pdevine/llava:latest";;"2024-02-01T09:16:18.564411916+01:00";"OLLAMA";0.0;0.0;;"false";0.0;"false"
2909;"pxlksr/opencodeinterpreter-ds:latest";;"2024-02-26T20:37:14.642181909+01:00";"OLLAMA";0.0;0.0;;"false";0.0;"false"
4051;"llama2-70b-4096";"Llama 2 70B ";"2";"GROQ";0.7;0.8;4;"false";70.0;"true"
4053;"mixtral-8x7b-32768";"Mixtral, 8x7B SMoE (32K Context Length)";;"GROQ";0.27;0.27;32;"false";56.0;"true"
4054;"gemma-7b-it";"Gemma 7B (8K Context Length)";;"GROQ";0.1;0.1;8;"false";7.0;"true"
4055;"mistral-large-latest";"Mistral Large (32K Context Length)";;"MISTRAL";8.0;24.0;32;"false";0;"true"
4056;"mistral-medium-latest";"Mistral Medium (32K Context Length)";;"MISTRAL";2.7;8.1;32;"false";0;"true"
4057;"open-mixtral-8x7b";"Open Mistral 8x7B (32K Context Length)";;"MISTRAL";0.7;0.7;32;"false";0;"true"
4058;"open-mistral-7b";"Open Mistral 7B (32K Context Length)";;"MISTRAL";0.25;0.25;32;"false";0;"true"
